applicant_id,business_name,sector,vintage_months,gst_filing_regularity,gst_turnover_growth,gst_itc_mismatch_rate,upi_avg_daily_inflow,upi_inflow_volatility,upi_customer_concentration,aa_avg_balance,aa_bounce_rate,aa_existing_emi_ratio,bureau_thin_signal,default_12m
MSME1197,Guha-Bhatti,Wholesale Trade,24,0.867,0.209,0.475,636.65,0.342,0.482,17400.6,0.224,0.072,0.396,0
MSME1198,Vohra Ltd,Retail/Kirana,5,0.927,0.117,0.055,7873.74,0.478,0.228,56490.39,0.058,0.159,0.179,0
MSME1199,"Karpe, Parmar and Maharaj",Retail/Kirana,51,0.42,-0.081,0.238,19515.37,0.347,0.307,66831.39,0.017,0.054,0.268,1
MSME1200,Ramesh Inc,Manufacturing,45,0.921,0.223,0.138,28043.07,0.307,0.587,0.0,0.039,0.174,0.338,0
MSME1201,Pau-Dasgupta,Agri-trade,77,0.913,0.03,0.355,31114.46,0.322,0.4,93657.72,0.072,0.245,0.355,0
MSME1202,"Parmar, Dutt and Iyer",Textiles,57,0.858,0.072,0.061,35487.25,0.355,0.048,28670.35,0.106,0.531,0.621,1
MSME1203,Chopra Group,Agri-trade,43,0.595,0.054,0.163,35387.21,0.629,0.197,25442.73,0.058,0.096,0.426,0
MSME1204,De Group,Services,9,0.619,0.251,0.092,34934.01,0.119,0.046,31996.34,0.066,0.171,0.471,0
MSME1205,Swamy LLC,Retail/Kirana,39,0.694,0.129,0.109,5867.95,0.272,0.488,62568.17,0.01,0.147,0.401,0
MSME1206,Chaudhari and Sons,Agri-trade,85,0.656,-0.032,0.129,33191.2,0.333,0.343,63709.26,0.084,0.196,0.59,0
MSME1207,Suri-Ramanathan,Manufacturing,81,0.903,0.136,0.185,13703.35,0.192,0.144,61581.86,0.12,0.223,0.611,1
MSME1208,"Nigam, Pai and Gola",Services,56,0.526,0.355,0.494,14822.74,0.211,0.307,104782.28,0.03,0.257,0.304,1
MSME1209,Purohit Group,Services,25,0.337,0.126,0.077,14527.98,0.139,0.326,44969.6,0.054,0.378,0.402,1
MSME1210,"Anand, Choudhry and Puri",Services,59,0.561,-0.15,0.173,39975.6,0.06,0.057,75241.51,0.096,0.108,0.454,0
MSME1211,Wadhwa Inc,Textiles,42,0.63,0.133,0.078,28605.42,0.127,0.149,3048.24,0.157,0.124,0.182,0
MSME1212,Chopra-Sane,Auto components,69,0.936,-0.037,0.039,22268.32,0.197,0.318,30683.8,0.188,0.221,0.512,0
MSME1213,Sridhar Ltd,Manufacturing,58,0.831,0.08,0.16,30709.42,0.567,0.19,72612.43,0.032,0.166,0.38,0
MSME1214,"Sangha, Ganesan and Ratti",Textiles,6,0.515,0.015,0.543,18137.09,0.056,0.139,36325.07,0.149,0.282,0.374,1
MSME1215,Narang-Sachdev,Wholesale Trade,43,0.941,0.179,0.131,5633.81,0.371,0.075,47767.97,0.048,0.375,0.601,0
MSME1216,Chaudhuri Group,Manufacturing,72,0.694,-0.184,0.108,2349.21,0.498,0.35,22289.11,0.101,0.291,0.426,0
MSME1217,Gokhale-Chauhan,Wholesale Trade,25,0.658,0.353,0.222,40210.24,0.432,0.235,0.0,0.273,0.395,0.459,1
MSME1218,Nadkarni-Sandhu,Manufacturing,55,0.511,0.301,0.18,22842.27,0.152,0.176,65886.22,0.29,0.382,0.369,0
MSME1219,Chandra LLC,Manufacturing,10,0.908,-0.0,0.168,23858.46,0.143,0.265,89747.0,0.264,0.198,0.35,0
MSME1220,Sandal-Hayre,Wholesale Trade,67,0.397,0.363,0.112,21286.61,0.257,0.707,27769.68,0.214,0.202,0.64,0
MSME1221,Mand-Apte,Services,76,0.803,-0.282,0.32,32729.42,0.333,0.266,43735.6,0.028,0.408,0.314,0
MSME1222,Kapur-Garde,Manufacturing,70,0.829,0.112,0.326,32001.4,0.303,0.166,49978.66,0.014,0.231,0.533,0
MSME1223,"Lad, Merchant and Bajaj",Retail/Kirana,41,0.923,0.123,0.076,15468.45,0.162,0.24,49042.14,0.298,0.253,0.431,0
MSME1224,"Golla, Chatterjee and Palla",Agri-trade,32,0.491,0.048,0.09,23332.72,0.241,0.254,63088.08,0.08,0.113,0.477,1
MSME1225,"Brahmbhatt, Grewal and Sarma",Retail/Kirana,11,0.704,0.071,0.084,9680.35,0.395,0.296,33857.22,0.083,0.388,0.436,0
MSME1226,Banik-Tank,Services,74,0.887,0.236,0.259,31185.21,0.373,0.258,29960.39,0.055,0.145,0.669,0
MSME1227,"Mangat, Sanghvi and Bhavsar",Services,69,0.627,0.152,0.367,500.0,0.4,0.133,31577.43,0.357,0.217,0.741,1
MSME1228,Lad and Sons,Retail/Kirana,48,0.794,0.071,0.233,17462.91,0.189,0.113,50303.09,0.102,0.068,0.582,1
MSME1229,Puri and Sons,Food & Beverage,68,0.507,0.356,0.099,12180.02,0.095,0.43,34527.18,0.112,0.024,0.741,0
MSME1230,"Mangal, Patel and Sarna",Wholesale Trade,32,0.501,0.072,0.088,26242.4,0.461,0.282,37304.23,0.099,0.319,0.465,0
MSME1231,More-Naik,Food & Beverage,6,0.767,0.196,0.095,500.0,0.154,0.14,17650.13,0.123,0.218,0.453,0
MSME1232,Mangal and Sons,Auto components,74,0.632,0.217,0.068,6232.55,0.027,0.439,11591.92,0.092,0.319,0.27,0
MSME1233,Grewal Ltd,Food & Beverage,67,0.755,-0.06,0.216,19787.5,0.345,0.118,50425.9,0.202,0.15,0.694,0
MSME1234,Dhaliwal Ltd,Textiles,93,0.276,0.093,0.093,11342.49,0.328,0.171,8591.92,0.105,0.301,0.071,0
MSME1235,Soman and Sons,Food & Beverage,43,0.793,0.318,0.234,23056.93,0.301,0.23,27389.27,0.02,0.31,0.414,0
MSME1236,"Sanghvi, Devan and Comar",Manufacturing,76,0.798,-0.031,0.115,10182.06,0.254,0.279,39219.37,0.068,0.321,0.552,1
MSME1237,Suresh-Kurian,Auto components,22,0.741,-0.003,0.174,13254.67,0.597,0.178,10030.16,0.324,0.576,0.707,1
MSME1238,Chanda Group,Agri-trade,90,0.659,0.061,0.227,30336.82,0.061,0.179,52189.76,0.119,0.554,0.94,0
MSME1239,Muni LLC,Wholesale Trade,84,0.811,-0.002,0.231,10543.24,0.095,0.069,82015.27,0.216,0.664,0.481,1
MSME1240,Zachariah-Kurian,Wholesale Trade,28,0.818,0.135,0.194,4341.29,0.286,0.334,38280.54,0.002,0.536,0.239,1
MSME1241,Andra-Kibe,Textiles,91,0.42,-0.149,0.05,14144.28,0.354,0.104,15903.96,0.215,0.273,0.618,1
MSME1242,Butala Inc,Manufacturing,23,0.916,0.088,0.02,24303.85,0.551,0.094,43858.2,0.152,0.427,0.212,1
MSME1243,Ahluwalia LLC,Auto components,62,0.792,0.025,0.078,13984.17,0.378,0.268,18046.79,0.234,0.331,0.277,0
MSME1244,Chahal-Chokshi,Services,75,0.514,-0.353,0.227,18201.15,0.269,0.241,32038.81,0.327,0.547,0.539,1
MSME1245,"Batra, Prasad and Jayaraman",Services,43,0.493,0.119,0.039,43418.52,0.084,0.166,13766.36,0.056,0.154,0.647,0
MSME1246,"Baria, Bhakta and Varghese",Services,15,0.724,0.174,0.116,4151.19,0.148,0.362,27082.87,0.396,0.238,0.749,1
MSME1247,"Walia, Chandra and Badami",Services,22,0.623,-0.194,0.093,25001.62,0.469,0.103,21586.38,0.009,0.264,0.333,0
MSME1248,Sankar-Kulkarni,Services,27,0.753,-0.157,0.281,866.0,0.472,0.045,39059.0,0.255,0.268,0.553,0
MSME1249,"Nagarajan, Chawla and Goswami",Wholesale Trade,22,0.815,0.133,0.076,22296.03,0.292,0.225,54497.45,0.025,0.071,0.724,0
MSME1250,"Mukhopadhyay, Chana and Master",Manufacturing,94,0.773,0.121,0.059,31856.79,0.222,0.368,17091.0,0.133,0.223,0.791,0
MSME1251,"Mandal, Narayan and Ben",Agri-trade,59,0.824,0.173,0.019,6278.3,0.39,0.284,26028.89,0.176,0.092,0.583,0
MSME1252,Devan-Mistry,Wholesale Trade,21,0.954,0.381,0.06,47761.88,0.102,0.143,58711.95,0.027,0.296,0.218,0
MSME1253,"Vyas, Mangal and Sha",Manufacturing,40,0.61,0.167,0.376,26814.13,0.145,0.45,52575.6,0.251,0.038,0.42,0
MSME1254,Edwin-Goda,Food & Beverage,57,0.906,0.128,0.289,29759.15,0.098,0.258,22928.1,0.291,0.038,0.607,0
MSME1255,Goswami-Bakshi,Wholesale Trade,94,0.926,-0.002,0.12,23822.54,0.108,0.67,61369.91,0.06,0.27,0.429,0
MSME1256,Virk PLC,Food & Beverage,73,0.58,-0.195,0.169,4516.53,0.181,0.291,57250.55,0.026,0.12,0.544,0
MSME1257,Suresh Group,Textiles,58,0.76,0.072,0.183,22929.79,0.407,0.48,10895.36,0.295,0.171,0.554,0
MSME1258,Setty-Dubey,Agri-trade,81,0.74,0.099,0.375,23771.11,0.276,0.208,57204.84,0.162,0.437,0.424,1
MSME1259,Mahal PLC,Food & Beverage,52,0.867,0.02,0.089,24796.89,0.264,0.315,48671.47,0.239,0.165,0.861,0
MSME1260,Dash-Rama,Manufacturing,67,0.749,0.19,0.034,33305.75,0.259,0.444,27413.98,0.018,0.113,0.727,0
MSME1261,Tiwari Ltd,Wholesale Trade,32,0.183,-0.064,0.172,17846.93,0.163,0.28,39954.24,0.23,0.507,0.327,0
MSME1262,"Ram, Barad and Grewal",Auto components,84,0.821,0.026,0.079,23983.9,0.136,0.165,48298.41,0.014,0.421,0.48,0
MSME1263,"Mall, Sem and D’Alia",Services,8,0.728,0.052,0.234,32420.76,0.349,0.215,74309.48,0.069,0.209,0.351,0
MSME1264,Padmanabhan and Sons,Food & Beverage,49,0.676,0.172,0.106,19753.15,0.068,0.129,57155.25,0.044,0.026,0.49,0
MSME1265,"Chand, More and Sarma",Retail/Kirana,79,0.762,-0.04,0.016,26240.97,0.143,0.435,22394.78,0.02,0.075,0.542,0
MSME1266,Kota-Chawla,Agri-trade,49,0.465,-0.021,0.102,14109.27,0.273,0.293,48010.03,0.036,0.353,0.74,1
MSME1267,Gade Ltd,Manufacturing,80,0.715,0.014,0.384,28980.94,0.173,0.262,48724.96,0.136,0.394,0.556,1
MSME1268,Zacharia Group,Manufacturing,25,0.718,0.043,0.394,500.0,0.153,0.207,49479.93,0.066,0.317,0.423,1
MSME1269,Raja-Bir,Textiles,76,0.672,0.04,0.124,27794.75,0.147,0.191,22538.02,0.207,0.396,0.91,0
MSME1270,"Dey, Sankaran and Singh",Manufacturing,17,0.793,0.045,0.481,19670.76,0.087,0.168,63142.5,0.157,0.168,0.378,0
MSME1271,Chad-Padmanabhan,Agri-trade,59,0.654,0.056,0.593,13527.04,0.387,0.136,35069.24,0.335,0.278,0.543,1
MSME1272,Agate Ltd,Wholesale Trade,72,0.664,0.245,0.077,500.0,0.627,0.394,9423.89,0.136,0.279,0.617,1
MSME1273,"Choudhary, Chaudhuri and Mangat",Retail/Kirana,50,0.711,0.271,0.417,17971.9,0.457,0.263,87542.12,0.137,0.255,0.369,0
MSME1274,Hans-Sur,Wholesale Trade,80,0.422,0.105,0.171,500.0,0.123,0.144,75385.69,0.098,0.428,0.665,0
MSME1275,Agrawal-Dutta,Manufacturing,81,0.599,-0.018,0.372,12611.26,0.265,0.36,67843.99,0.026,0.335,0.881,0
MSME1276,Mitra-Minhas,Retail/Kirana,41,0.917,-0.026,0.208,500.0,0.22,0.046,10564.76,0.28,0.411,0.373,0
MSME1277,Gokhale Ltd,Wholesale Trade,34,0.974,0.042,0.127,8418.32,0.179,0.294,28536.3,0.319,0.068,0.639,0
MSME1278,Goyal and Sons,Retail/Kirana,37,0.454,0.088,0.343,27364.93,0.058,0.173,12158.84,0.129,0.091,0.335,1
MSME1279,Choudhry LLC,Retail/Kirana,66,0.538,0.263,0.612,31469.09,0.329,0.122,73626.71,0.02,0.031,0.48,0
MSME1280,Ravel-Mand,Retail/Kirana,48,0.845,-0.109,0.221,4582.99,0.485,0.141,51214.14,0.172,0.082,0.427,0
MSME1281,"Vaidya, Dewan and Bath",Agri-trade,26,0.525,-0.108,0.136,23807.29,0.34,0.082,39012.39,0.091,0.154,0.581,0
MSME1282,"Basak, Puri and Sathe",Retail/Kirana,31,0.787,0.274,0.213,34443.4,0.103,0.089,70620.96,0.575,0.157,0.547,0
MSME1283,Loke Inc,Wholesale Trade,88,0.751,-0.04,0.199,7113.8,0.338,0.228,30222.94,0.061,0.455,0.685,1
MSME1284,Sanghvi PLC,Auto components,5,0.875,0.02,0.316,23494.81,0.218,0.285,61340.32,0.209,0.448,0.73,1
MSME1285,De-Bhatnagar,Services,54,0.726,0.149,0.364,25643.46,0.146,0.088,0.0,0.122,0.103,0.411,0
MSME1286,"Loke, Ganesan and Misra",Retail/Kirana,74,0.833,-0.05,0.127,13510.12,0.568,0.127,43145.63,0.185,0.1,0.452,0
MSME1287,Sem Inc,Food & Beverage,46,0.88,-0.22,0.091,5301.63,0.334,0.234,0.0,0.088,0.234,0.736,1
MSME1288,"Saini, Apte and Sem",Textiles,73,0.788,-0.122,0.111,19448.52,0.499,0.359,22677.92,0.138,0.174,0.869,0
MSME1289,Sankar Ltd,Textiles,24,0.65,-0.182,0.103,1063.59,0.821,0.097,19727.67,0.112,0.118,0.595,0
MSME1290,"Sachdeva, Krish and Khurana",Food & Beverage,62,0.615,-0.043,0.328,22194.33,0.361,0.187,26126.42,0.116,0.109,0.435,0
MSME1291,"Sampath, Ray and Bobal",Agri-trade,49,0.679,-0.152,0.075,22278.51,0.061,0.19,47250.34,0.041,0.308,0.475,0
MSME1292,Deshpande Group,Wholesale Trade,55,0.881,-0.094,0.198,11932.65,0.08,0.021,24546.08,0.258,0.223,0.436,0
MSME1293,Krishnamurthy Group,Food & Beverage,70,0.629,0.1,0.11,50145.31,0.107,0.651,93687.37,0.055,0.084,0.821,0
MSME1294,"Comar, Chand and Kanda",Wholesale Trade,76,0.755,0.029,0.33,15276.93,0.212,0.348,15884.3,0.107,0.419,0.649,0
MSME1295,"Dhillon, Babu and Pillay",Textiles,10,0.496,-0.025,0.083,42974.01,0.381,0.196,52870.81,0.183,0.262,0.568,1
MSME1296,Bhatia Ltd,Manufacturing,43,0.772,0.177,0.151,12971.16,0.459,0.092,48284.97,0.014,0.624,0.299,0
MSME1297,Kaul and Sons,Food & Beverage,90,0.548,-0.099,0.424,25612.8,0.319,0.144,73468.12,0.095,0.358,0.271,1
MSME1298,Agarwal-Pandya,Auto components,7,0.932,0.06,0.083,500.0,0.118,0.633,24533.5,0.221,0.202,0.666,0
MSME1299,"Sood, Sem and Pingle",Services,8,0.835,0.203,0.174,34020.97,0.091,0.226,46681.47,0.191,0.229,0.731,0
MSME1300,Mann Ltd,Auto components,8,0.596,0.203,0.207,15963.68,0.067,0.351,3450.51,0.129,0.223,0.298,0
MSME1301,Talwar-Kashyap,Manufacturing,60,0.673,-0.057,0.105,13676.57,0.136,0.044,61424.61,0.244,0.587,0.453,1
MSME1302,Srivastava Inc,Food & Beverage,86,0.64,0.203,0.35,17949.77,0.714,0.226,42279.57,0.137,0.299,0.494,1
MSME1303,Bumb-Bhatnagar,Manufacturing,93,0.633,0.318,0.102,24509.31,0.324,0.138,38470.59,0.282,0.197,0.218,0
MSME1304,Mane PLC,Manufacturing,16,0.534,0.073,0.068,51909.92,0.135,0.367,72051.15,0.014,0.152,0.418,0
MSME1305,"Narayan, Kibe and Palan",Textiles,34,0.998,0.225,0.315,22955.91,0.028,0.28,63674.78,0.015,0.151,0.397,0
MSME1306,"Vig, Walia and Pal",Wholesale Trade,30,0.961,0.03,0.212,17871.07,0.218,0.047,0.0,0.099,0.257,0.527,1
MSME1307,"Randhawa, Khare and Hora",Auto components,19,0.763,0.002,0.162,12836.18,0.1,0.329,61192.04,0.038,0.092,0.341,0
MSME1308,"Batta, Hora and Datta",Manufacturing,49,0.745,-0.223,0.156,500.0,0.609,0.302,0.0,0.049,0.583,0.657,1
MSME1309,Sen-Bhatti,Textiles,24,0.611,0.072,0.261,36329.43,0.168,0.126,43248.92,0.256,0.119,0.305,0
MSME1310,Bora Group,Manufacturing,35,0.933,0.191,0.195,19537.27,0.081,0.264,39033.22,0.026,0.109,0.511,0
MSME1311,Jayaraman Ltd,Food & Beverage,12,0.994,0.155,0.661,14695.53,0.373,0.332,82793.34,0.385,0.171,0.2,1
MSME1312,Anand Ltd,Textiles,4,0.707,0.169,0.534,26356.44,0.178,0.37,14538.64,0.216,0.395,0.636,1
MSME1313,"Zachariah, Gandhi and Batta",Food & Beverage,89,0.619,-0.115,0.138,11449.4,0.487,0.123,61529.47,0.487,0.134,0.433,0
MSME1314,Tara-Sharma,Manufacturing,81,0.894,0.045,0.158,18239.61,0.205,0.536,3556.19,0.056,0.197,0.333,0
MSME1315,"Dave, Parmar and Din",Agri-trade,35,0.78,0.08,0.079,500.0,0.144,0.158,34284.18,0.046,0.255,0.198,1
MSME1316,"Aurora, Barman and Bumb",Auto components,28,0.784,-0.013,0.559,30342.34,0.157,0.059,86416.27,0.129,0.062,0.389,0
MSME1317,"Kurian, Rajagopal and Master",Services,6,0.789,0.453,0.246,27123.27,0.283,0.203,23461.19,0.082,0.193,0.516,0
MSME1318,"Kala, Hayre and Muni",Agri-trade,32,0.953,-0.01,0.263,30840.88,0.366,0.088,125872.55,0.143,0.358,0.235,1
MSME1319,"Dalal, Tripathi and Virk",Food & Beverage,82,0.875,0.039,0.269,22353.72,0.308,0.165,16719.92,0.091,0.075,0.374,1
MSME1320,"Tara, Maharaj and Sahni",Food & Beverage,22,0.676,-0.009,0.159,500.0,0.427,0.073,62234.61,0.086,0.109,0.296,1
MSME1321,Basu-Shroff,Retail/Kirana,54,0.759,-0.02,0.229,9135.37,0.265,0.299,35723.08,0.06,0.159,0.345,0
MSME1322,Bava Ltd,Services,81,0.649,-0.019,0.114,10151.46,0.325,0.342,43939.96,0.057,0.103,0.397,1
MSME1323,"Tara, Dass and Dube",Auto components,42,0.845,0.048,0.065,1164.12,0.335,0.564,0.0,0.07,0.247,0.801,0
MSME1324,Ganesh and Sons,Wholesale Trade,74,0.592,0.299,0.222,10675.66,0.547,0.538,103634.73,0.376,0.186,0.584,1
MSME1325,Sen-Zachariah,Textiles,80,0.765,-0.176,0.128,13504.44,0.355,0.123,41030.7,0.049,0.103,0.317,0
MSME1326,Khalsa Group,Manufacturing,56,0.685,-0.213,0.135,12466.69,0.452,0.158,44437.2,0.052,0.148,0.741,0
MSME1327,"Sane, Menon and Radhakrishnan",Services,44,0.824,0.045,0.128,21706.21,0.241,0.275,15943.94,0.236,0.171,0.551,0
MSME1328,"Parekh, Jani and Bal",Wholesale Trade,51,0.819,-0.036,0.119,31112.9,0.521,0.471,47095.66,0.103,0.539,0.807,0
MSME1329,Mann PLC,Retail/Kirana,47,0.599,0.08,0.372,9794.79,0.311,0.142,13764.38,0.022,0.438,0.686,1
MSME1330,"Sabharwal, Warrior and Zacharia",Retail/Kirana,68,0.693,-0.115,0.316,19699.55,0.047,0.17,28307.58,0.238,0.103,0.489,1
MSME1331,"More, Nair and Bala",Auto components,9,0.699,0.224,0.081,28372.91,0.366,0.125,60176.91,0.226,0.278,0.416,0
MSME1332,Borah and Sons,Retail/Kirana,75,0.568,0.131,0.02,9096.35,0.091,0.341,53611.61,0.301,0.037,0.286,1
MSME1333,Seshadri Ltd,Auto components,58,0.745,0.203,0.207,31248.29,0.278,0.188,73894.23,0.059,0.271,0.525,0
MSME1334,Madan-Gara,Textiles,79,0.797,0.14,0.115,6489.59,0.081,0.021,50410.43,0.06,0.216,0.398,0
MSME1335,Madan-Ramanathan,Wholesale Trade,57,0.619,-0.109,0.036,6261.22,0.441,0.181,34893.57,0.166,0.538,0.376,1
MSME1336,Chaudhary-Rao,Food & Beverage,93,0.538,0.114,0.069,29039.87,0.303,0.423,30288.37,0.026,0.48,0.041,1
MSME1337,Tiwari and Sons,Services,85,0.787,0.339,0.089,31528.83,0.319,0.182,22266.1,0.143,0.642,0.383,0
MSME1338,Ram LLC,Retail/Kirana,24,0.656,0.219,0.168,12878.83,0.162,0.103,23407.18,0.029,0.226,0.363,1
MSME1339,Sarkar Ltd,Manufacturing,49,0.707,0.081,0.059,26645.33,0.017,0.057,34215.61,0.059,0.13,0.545,0
MSME1340,Guha-Nagar,Food & Beverage,8,0.845,0.393,0.215,18150.63,0.111,0.298,47186.5,0.104,0.367,0.627,0
MSME1341,"Warrior, More and Sen",Services,59,0.885,0.155,0.216,34586.65,0.414,0.265,59752.45,0.208,0.205,0.479,1
MSME1342,Wadhwa and Sons,Services,75,0.888,0.067,0.181,15773.92,0.048,0.245,24234.08,0.002,0.37,0.525,0
MSME1343,Manda-Kanda,Wholesale Trade,79,0.341,0.102,0.048,23566.6,0.211,0.191,53124.42,0.222,0.151,0.716,0
MSME1344,Varma Group,Services,16,0.568,0.227,0.106,12520.09,0.336,0.087,22730.97,0.357,0.206,0.558,1
MSME1345,Venkataraman and Sons,Textiles,4,0.945,0.085,0.207,27159.71,0.13,0.71,29487.74,0.029,0.106,0.044,0
MSME1346,Shukla-Sinha,Auto components,60,0.83,0.102,0.424,12513.06,0.208,0.146,100181.77,0.286,0.177,0.318,0
MSME1347,Pillay LLC,Services,15,0.768,0.138,0.049,23206.85,0.214,0.104,0.0,0.027,0.493,0.584,0
MSME1348,Goyal-Lall,Wholesale Trade,60,0.89,-0.151,0.093,22763.16,0.117,0.546,17544.76,0.247,0.289,0.303,0
MSME1349,"Chacko, Din and Prakash",Auto components,25,0.529,0.013,0.101,16873.34,0.438,0.005,31772.02,0.077,0.276,0.271,0
MSME1350,Bhandari-Jayaraman,Services,7,0.758,0.388,0.239,39225.45,0.155,0.038,58632.4,0.144,0.266,0.62,0
MSME1351,"Buch, Nadig and Natarajan",Services,85,0.698,0.139,0.105,18759.24,0.098,0.35,35474.25,0.103,0.27,0.646,0
MSME1352,"Naik, Kata and Natt",Agri-trade,19,0.87,0.042,0.3,34024.59,0.236,0.146,87886.87,0.025,0.137,0.24,0
MSME1353,Mandal LLC,Food & Beverage,58,0.915,0.005,0.09,24014.29,0.295,0.351,51503.24,0.264,0.205,0.229,1
MSME1354,Sagar-Goda,Wholesale Trade,95,0.669,-0.072,0.17,21847.38,0.112,0.264,10359.58,0.199,0.027,0.551,0
MSME1355,Lalla-Sant,Food & Beverage,51,0.794,-0.137,0.534,28976.54,0.221,0.532,80102.13,0.056,0.103,0.592,0
MSME1356,Bahl and Sons,Food & Beverage,85,0.646,0.129,0.236,19006.61,0.078,0.213,48603.8,0.346,0.062,0.5,0
MSME1357,Kar-Hans,Wholesale Trade,39,0.704,0.136,0.13,500.0,0.221,0.565,107340.45,0.063,0.123,0.221,0
MSME1358,"Vaidya, Krish and Reddy",Agri-trade,92,0.456,-0.126,0.031,38314.92,0.187,0.273,72333.78,0.044,0.064,0.518,0
MSME1359,Balan-Mukhopadhyay,Manufacturing,90,0.807,0.299,0.153,8155.92,0.182,0.136,29266.37,0.123,0.213,0.566,0
MSME1360,Bobal Group,Agri-trade,49,0.877,0.117,0.1,40594.48,0.367,0.36,61707.48,0.114,0.351,0.772,0
MSME1361,Manda Inc,Wholesale Trade,26,0.794,0.188,0.169,20263.63,0.218,0.14,51107.79,0.163,0.224,0.854,1
MSME1362,Dalal LLC,Auto components,91,0.859,-0.067,0.409,29708.67,0.256,0.243,12560.81,0.236,0.444,0.707,0
MSME1363,Prashad-Raval,Agri-trade,35,0.91,0.22,0.084,500.0,0.3,0.406,66471.07,0.073,0.423,0.371,0
MSME1364,Iyengar-Palan,Auto components,76,0.651,0.087,0.256,9235.44,0.343,0.172,37963.76,0.134,0.197,0.393,1
MSME1365,"Wali, Grewal and Chaudhari",Retail/Kirana,73,0.916,-0.024,0.181,25742.55,0.524,0.302,27112.24,0.248,0.076,0.695,0
MSME1366,Sankaran PLC,Manufacturing,17,0.859,-0.228,0.237,6168.27,0.299,0.095,27233.43,0.052,0.358,0.56,0
MSME1367,Baria-Sami,Food & Beverage,87,0.517,0.059,0.254,16929.18,0.349,0.422,25307.61,0.018,0.153,0.603,0
MSME1368,Bhat Inc,Wholesale Trade,39,0.542,0.157,0.187,35551.71,0.408,0.297,83303.92,0.093,0.111,0.755,0
MSME1369,"Dewan, Dugal and Ramesh",Retail/Kirana,50,0.856,0.089,0.111,23125.45,0.337,0.127,55038.22,0.351,0.222,0.573,0
MSME1370,Chaudhry-Kunda,Agri-trade,22,0.88,-0.157,0.151,7191.95,0.298,0.228,56755.13,0.104,0.35,0.354,0
MSME1371,Badal-Verma,Agri-trade,81,0.954,0.066,0.112,33371.85,0.532,0.569,80210.58,0.054,0.29,0.773,0
MSME1372,"Sastry, Patil and Arora",Manufacturing,17,0.565,0.049,0.02,13067.17,0.249,0.107,117631.41,0.108,0.381,0.407,0
MSME1373,Wason Group,Agri-trade,51,0.785,0.045,0.12,10220.67,0.301,0.338,31117.04,0.496,0.5,0.589,0
MSME1374,Bose-Sridhar,Wholesale Trade,6,0.607,-0.063,0.286,29019.31,0.479,0.303,35962.46,0.076,0.18,0.392,0
MSME1375,Bajaj-Raman,Manufacturing,22,0.723,0.205,0.112,15462.0,0.012,0.071,44417.98,0.163,0.151,0.316,1
MSME1376,"Grover, Sami and Garg",Retail/Kirana,47,0.507,-0.245,0.177,22392.57,0.13,0.587,48227.36,0.692,0.407,0.418,1
MSME1377,"Char, Deep and Parmar",Manufacturing,46,0.878,0.382,0.131,27409.01,0.174,0.231,38006.75,0.256,0.305,0.679,0
MSME1378,"Sridhar, Sheth and Mishra",Agri-trade,21,0.663,0.085,0.261,34580.81,0.703,0.218,34664.48,0.163,0.308,0.708,1
MSME1379,"Balan, Chad and Tak",Textiles,20,0.776,-0.059,0.203,25084.46,0.218,0.655,32814.23,0.067,0.044,0.535,0
MSME1380,Kalla Inc,Auto components,80,0.786,0.095,0.075,17924.77,0.12,0.062,767.16,0.113,0.231,0.779,0
MSME1381,"Chander, Buch and Borde",Food & Beverage,57,0.783,-0.166,0.108,14629.4,0.478,0.145,48541.17,0.057,0.154,0.538,0
MSME1382,"Murty, Borra and Joshi",Wholesale Trade,51,0.815,0.209,0.357,27714.55,0.239,0.516,81957.85,0.089,0.254,0.442,0
MSME1383,"Narain, Dara and Subramanian",Auto components,11,0.697,0.035,0.102,30170.08,0.18,0.387,17309.97,0.265,0.468,0.437,1
MSME1384,Sridhar Group,Wholesale Trade,18,0.8,-0.197,0.103,19597.89,0.414,0.447,49184.17,0.179,0.127,0.396,0
MSME1385,"Raval, Pradhan and Rout",Wholesale Trade,15,0.884,0.349,0.171,20237.74,0.517,0.134,3156.93,0.318,0.287,0.518,0
MSME1386,Raman-Lanka,Auto components,42,0.696,0.008,0.414,19799.31,0.384,0.431,26118.76,0.032,0.368,0.594,1
MSME1387,Divan Group,Auto components,12,0.86,0.167,0.186,500.0,0.193,0.272,42065.21,0.13,0.511,0.362,0
MSME1388,"Parsa, Upadhyay and Kant",Manufacturing,27,0.688,-0.04,0.273,32365.63,0.244,0.045,24659.57,0.153,0.038,0.389,1
MSME1389,Lad-Manda,Wholesale Trade,19,0.746,0.358,0.129,17503.9,0.193,0.598,4698.0,0.206,0.209,0.498,0
MSME1390,Tank LLC,Manufacturing,6,0.663,-0.12,0.229,17166.04,0.516,0.179,0.0,0.104,0.362,0.464,1
MSME1391,Ranganathan-Narayanan,Retail/Kirana,23,0.935,0.182,0.163,500.0,0.417,0.195,76750.85,0.177,0.438,0.513,1
MSME1392,"Gaba, Mohanty and Doctor",Food & Beverage,50,0.366,-0.109,0.179,24356.91,0.439,0.299,70636.56,0.303,0.061,0.498,0
MSME1393,"Patel, Sankar and Bala",Food & Beverage,6,0.807,0.192,0.11,23501.19,0.43,0.466,0.0,0.099,0.414,0.406,1
